ID   type	latitude	longitude       D	P serviceTime earliestStartTimeToService latestStartTimeToService

48	d	39750124	30485116	0	0	0	0	5000
117	c	39749351	30491168	20	0	120	653	739
121	c	39749195	30474898	8	0	100	762	841
122	c	39749195	30476336	9	0	100	785	867
16	c	39749308	30491449	13	0	120	1155	1226
17	c	39749178	30489155	9	0	180	586	634
18	c	39748798	30488982	11	0	120	999	1079
20	c	39749416	30489487	19	0	180	713	761
21	c	39749471	30489002	20	0	180	445	506
22E	c	39749475	30489244	16	0	180	689	768
22B	c	39749472	30489346	9	0	180	286	367
22C	c	39749469	30489109	7	0	180	1478	1564
51	c	39749598	30481872	6	0	120	521	587
52	c	39748937	30480167	16	0	120	861	905
56	c	39749427	30476711	17	0	180	124	184
60B/1	c	39749234	30474840	9	0	180	1328	1413
60B/2	c	39749234	30474840	9	0	240	334	391
60A/1	c	39749362	30474844	18	0	180	1313	1374
60A/2	c	39749362	30474844	15	0	240	764	840
61B	c	39749062	30476333	11	0	180	953	1022
61A/1	c	39749131	30476333	10	0	180	752	823
61A/2	c	39749131	30476333	0	11	240	294	373
11	c	39751078	30491364	0	20	120	781	852
12	c	39751132	30491299	0	11	120	829	887
33	c	39751610	30487475	0	14	180	1143	1227
36	c	39751436	30485759	0	15	180	775	827
37B	c	39751355	30484827	0	15	180	933	984
37A	c	39751335	30484563	0	18	180	912	984
41	c	39751122	30481994	0	14	180	1138	1224
42C	c	39751074	30480695	0	5	240	168	252
42A	c	39751097	30481668	0	11	240	849	898
43A	c	39751072	30479930	0	10	180	708	780
43B	c	39751072	30479666	0	14	180	1402	1476
44	c	39751059	30477202	0	7	120	280	347
46	c	39751358	30485299	0	19	180	1382	1429
47	c	39751337	30485070	0	15	180	448	493
49	c	39751162	30483036	0	10	120	395	440
55	c	39751013	30476982	0	9	120	1392	1471
6	c	39751267	30489180	0	15	180	85	165
7	c	39751035	30489245	0	5	120	372	450
8	c	39751388	30493135	0	8	120	416	495
cs1	cs	39744075	30469333	0	0	0	0	5000
cs2	cs	39748305	30477105	0	0	0	0	5000
cs3	cs	39746605	30474623	0	0	0	0	5000
cs4	cs	39753933	30484572	0	0	0	0	5000
cs5	cs	39751670	30480422	0	0	0	0	5000
cs6	cs	39751182	30487697	0	0	0	0	5000
cs7	cs	39752908	30489350	0	0	0	0	5000
cs8	cs	39750889	30492715	0	0	0	0	5000
cs9	cs	39750132	30474637	0	0	0	0	5000
cs10	cs	39749569	30482477	0	0	0	0	5000

V Average velocity of the EV /12.5 m/s (45 km/h)/
C Vehicle load capacity /350 kg/
Q Vehicle battery capacity /1 kWH (3000 kWsn)/
h(r) Energy consumption rate /1.0/
g Battery recharging rate /0.18/
