ID   type	latitude	longitude       D	P serviceTime earliestStartTimeToService latestStartTimeToService

48	d	39750124	30485116	0	0	0	0	5000
60A/1	c	39749362	30474844	18	0	180	1313	1374
23	c	39750602	30490429	18	0	120	100	151
60B/1	c	39749234	30474840	9	0	180	1328	1413
13	c	39750779	30491320	12	0	120	1362	1437
61A/2	c	39749131	30476333	11	0	240	294	373
59	c	39750375	30474471	5	0	120	1479	1532
24	c	39750821	30488751	20	0	120	366	427
5	c	39753051	30492640	13	0	120	1183	1262
64	c	39748436	30476328	10	0	120	628	700
118	c	39748484	30489481	6	0	120	153	235
8	c	39751388	30493135	8	0	120	416	495
121	c	39749195	30474898	8	0	100	762	841
51	c	39749598	30481872	6	0	120	521	587
61A/1	c	39749131	30476333	10	0	180	752	823
72	c	39747793	30474899	20	0	180	1158	1205
22E	c	39749475	30489244	16	0	180	689	768
14	c	39750497	30491334	17	0	120	1622	1668
38	c	39752887	30483711	18	0	120	276	320
75	c	39747236	30473853	11	0	120	424	487
124	c	39747138	30471867	10	0	120	1183	1262
87	c	39745797	30473663	13	0	120	1694	1770
16	c	39749308	30491449	13	0	120	1155	1226
6	c	39751267	30489180	15	0	180	85	165
77	c	39747091	30474708	18	0	120	1338	1401
43C	c	39752207	30479961	8	0	120	1396	1468
35	c	39752418	30485774	14	0	120	1649	1731
113	c	39753067	30493342	7	0	100	1175	1248
29	c	39753082	30485329	5	0	120	1567	1647
56	c	39749427	30476711	17	0	180	124	184
30	c	39753104	30484268	5	0	120	1213	1291
26	c	39753624	30489987	0	5	120	474	531
40	c	39751745	30482277	0	14	120	291	358
58/1	c	39749819	30476332	0	18	180	1304	1366
62	c	39748424	30474837	0	11	120	1203	1288
42B	c	39752379	30481190	0	11	120	649	729
53	c	39750733	30480165	0	14	120	1446	1524
4	c	39751816	30492367	0	15	120	969	1051
17	c	39749178	30489155	0	9	180	586	634
3	c	39752214	30489639	0	8	120	382	433
7	c	39751035	30489245	0	5	120	372	450
21	c	39749471	30489002	0	20	180	445	506
41	c	39751122	30481994	0	14	180	1138	1224
79	c	39747237	30473743	0	8	120	1407	1483
71	c	39747743	30476326	0	17	120	503	558
83	c	39746378	30476496	0	11	120	684	735
66	c	39748210	30474900	0	17	180	407	479
33	c	39751610	30487475	0	14	180	1143	1227
86	c	39746245	30476286	0	17	120	1256	1304
80	c	39747092	30474594	0	18	120	468	548
85	c	39746346	30476281	0	7	120	186	255
1	c	39752498	30490950	0	10	120	853	929
52	c	39748937	30480167	0	16	120	861	905
55	c	39751013	30476982	0	9	120	1392	1471
19	c	39748356	30488971	0	16	120	296	350
12	c	39751132	30491299	0	11	120	829	887
65	c	39748201	30476327	0	8	120	509	579
22D	c	39750718	30488967	0	18	240	1308	1394
122	c	39749195	30476336	0	9	100	785	867
42A	c	39751097	30481668	0	11	240	849	898
82	c	39747101	30476045	0	10	120	693	746
cs1	cs	39744075	30469333	0	0	0	0	5000
cs2	cs	39748305	30477105	0	0	0	0	5000
cs3	cs	39746605	30474623	0	0	0	0	5000
cs4	cs	39753933	30484572	0	0	0	0	5000
cs5	cs	39751670	30480422	0	0	0	0	5000
cs6	cs	39751182	30487697	0	0	0	0	5000
cs7	cs	39752908	30489350	0	0	0	0	5000
cs8	cs	39750889	30492715	0	0	0	0	5000
cs9	cs	39750132	30474637	0	0	0	0	5000
cs10	cs	39749569	30482477	0	0	0	0	5000

V Average velocity of the EV /12.5 m/s (45 km/h)/
C Vehicle load capacity /350 kg/
Q Vehicle battery capacity /1 kWH (3000 kWsn)/
h(r) Energy consumption rate /1.0/
g Battery recharging rate /0.18/

