epoch,step,train/loss,train/reward
0,49,-0.7499395608901978,-4.9004011154174805
0,99,-0.6010197997093201,-4.470157623291016
0,149,-0.37971022725105286,-4.272070407867432
0,199,-0.3522992432117462,-4.2587809562683105
0,249,-0.36188721656799316,-4.217154026031494
0,299,-0.3618331849575043,-4.227253437042236
0,349,-0.3573557734489441,-4.25588846206665
0,399,-0.36520010232925415,-4.188540458679199
0,449,-0.40891584753990173,-4.137781143188477
0,499,-0.30482304096221924,-4.129103660583496
0,549,-0.2982514798641205,-4.170788764953613
