epoch,step,train/loss,train/reward,val/reward
0,49,-0.6805538535118103,-4.823627471923828,
0,99,-0.6666585803031921,-4.532199382781982,
0,149,-0.42415234446525574,-4.31809139251709,
0,199,-0.3772561252117157,-4.283260345458984,
0,249,-0.3418276906013489,-4.240838050842285,
0,299,-0.39696499705314636,-4.180663585662842,
0,349,-0.4849209487438202,-4.1157732009887695,
0,399,-0.3031799793243408,-4.12020206451416,
0,449,-0.2923832833766937,-4.188253879547119,
0,499,-0.3309757709503174,-4.128775596618652,
0,549,-0.3188418447971344,-4.199418067932129,
0,599,-0.2902931869029999,-4.103724956512451,
0,649,-0.29462096095085144,-4.14404296875,
0,699,-0.25452491641044617,-4.157476902008057,
0,749,-0.31188103556632996,-4.083911418914795,
0,799,-0.2977519631385803,-4.060420513153076,
0,849,-0.1827714890241623,-4.0516180992126465,
0,899,-0.23200678825378418,-4.08453893661499,
0,949,-0.21696273982524872,-4.094758033752441,
0,999,-0.1679365336894989,-3.961968183517456,
0,1049,-0.21466103196144104,-4.013496398925781,
0,1099,-0.20561008155345917,-4.09042501449585,
0,1149,-0.2533338665962219,-4.0384907722473145,
0,1199,-0.14762263000011444,-4.0290350914001465,
0,1249,-0.2216818630695343,-3.989060163497925,
0,1299,-0.21374301612377167,-4.095384120941162,
0,1349,-0.19706538319587708,-4.049697399139404,
0,1399,-0.20002992451190948,-4.053906440734863,
0,1449,-0.16977739334106445,-4.057920932769775,
0,1499,-0.17679807543754578,-4.016375541687012,
0,1549,-0.2016872614622116,-4.021458625793457,
0,1562,,,-3.95214581489563
